"","X","gender","age","married","employed","educated_in_us","highest_degree","education_years","labor_income"
"226",226,2,28,0,"employed",8,"no college",13,10847
"227",227,2,27,0,"employed",1,"bachelor",16,41960
"228",228,1,17,0,"student",1,"no college",10,1000
"229",229,2,6,0,NA,0,"no college",0,0
"230",230,1,2,0,NA,0,"no college",0,0
"231",231,2,2,0,NA,0,"no college",0,0
"232",232,1,1,0,NA,0,"no college",0,0
"233",233,2,51,0,"employed",1,"no college",14,0
"234",234,2,43,0,"employed",1,"associate",14,0
"235",235,1,25,1,"employed",1,"no college",14,0
"236",236,2,50,0,"employed",0,"no college",0,10847
"237",237,2,13,0,NA,0,"no college",0,0
"238",238,1,8,0,NA,0,"no college",0,0
"239",239,2,24,1,"employed",1,"no college",13,0
"240",240,1,20,0,"employed",1,"no college",10,8000
"241",241,2,43,2,"employed",9,"no college",99,50000
"242",242,1,57,2,"employed",0,"no college",0,50000
"243",243,2,67,0,"employed",1,"bachelor",16,0
"244",244,2,47,0,"employed",1,"associate",16,0
"245",245,1,46,1,"keeping house",1,"no college",13,0
"246",246,1,14,0,NA,0,"no college",0,0
"247",247,1,11,0,NA,0,"no college",0,0
"248",248,2,3,0,NA,0,"no college",0,0
"249",249,2,36,1,"employed",1,"no college",15,0
"250",250,1,70,1,"retired",1,"bachelor",16,0
"251",251,2,70,1,"retired",1,"bachelor",16,0
"252",252,1,71,1,"retired",1,"bachelor",16,0
"253",253,2,70,1,"retired",1,"associate",14,0
"254",254,1,72,1,"employed",1,"bachelor",16,0
"255",255,2,69,1,"employed",1,"bachelor",16,0
"256",256,2,49,0,"employed",1,"no college",12,0
"257",257,1,47,1,"employed",1,"no college",15,0
"258",258,2,22,0,NA,0,"no college",0,0
"259",259,1,17,0,"employed",1,"no college",10,300
"260",260,1,16,0,"student",1,"no college",10,0
"261",261,2,15,0,NA,0,"no college",0,0
"262",262,1,45,0,"employed",1,"bachelor",16,0
"263",263,2,48,0,"employed",1,"bachelor",16,0
"264",264,2,45,1,"employed",1,"bachelor",16,0
"265",265,1,49,0,"NA",1,"master",17,35000
"266",266,2,83,0,"retired",1,"no college",12,0
"267",267,1,57,1,"employed",1,"no college",12,0
"268",268,2,55,0,"disabled",1,"no college",12,0
"269",269,2,54,1,"employed",1,"medical degree",17,0
"270",270,2,45,0,"other",1,"no college",12,0
"271",271,2,37,1,"employed",1,"master",17,0
"272",272,2,36,1,"employed",1,"bachelor",16,0
"273",273,2,35,1,"disabled",1,"no college",12,0
"274",274,1,34,1,"employed",1,"no college",17,0
"275",275,1,31,1,"employed",1,"no college",10,0
"276",276,1,31,0,"employed",1,"master",17,0
"277",277,2,27,1,"employed",1,"no college",13,0
"278",278,1,25,0,NA,0,"no college",0,0
"279",279,1,22,0,"employed",1,"no college",13,35000
"280",280,2,12,0,NA,0,"no college",0,0
"281",281,1,9,0,NA,0,"no college",0,0
"282",282,1,8,0,NA,0,"no college",0,0
"283",283,2,6,0,NA,0,"no college",0,0
"284",284,2,56,1,"employed",1,"associate",14,0
"285",285,1,47,1,"employed",1,"no college",12,0
"286",286,1,47,1,"employed",1,"no college",14,0
"287",287,2,21,0,"unemployed",1,"no college",13,0
"288",288,1,40,1,"employed",1,"no college",12,0
"289",289,2,50,1,"employed",1,"master",17,0
"290",290,1,21,0,"employed",1,"no college",12,14000
"291",291,2,12,0,NA,0,"no college",0,0
"292",292,2,47,1,"employed",1,"master",17,0
"293",293,2,18,0,"employed",1,"no college",12,6000
"294",294,1,54,1,"employed",1,"no college",13,0
"295",295,2,46,1,"disabled",1,"no college",12,0
"296",296,1,40,1,"employed",1,"no college",12,0
"297",297,2,29,1,"employed",3,"master",17,0
"298",298,2,34,1,"employed",1,"no college",12,0
"299",299,2,78,0,"retired",0,"no college",0,0
"300",300,2,25,1,"keeping house",1,"no college",12,0
"301",301,1,3,0,NA,0,"no college",0,0
"302",302,2,5,0,NA,0,"no college",0,0
"303",303,2,58,1,"disabled",1,"no college",10,0
"304",304,2,55,1,"employed",1,"associate",14,0
"305",305,2,39,1,"disabled",1,"no college",12,0
"306",306,1,38,1,"disabled",1,"no college",11,0
"307",307,2,17,0,"student",1,"no college",9,0
"308",308,1,14,0,NA,0,"no college",0,0
"309",309,2,15,0,NA,0,"no college",0,0
"310",310,1,14,0,NA,0,"no college",0,0
"311",311,2,13,0,NA,0,"no college",0,0
"312",312,2,12,0,NA,0,"no college",0,0
"313",313,2,13,0,NA,0,"no college",0,0
"314",314,1,12,0,NA,0,"no college",0,0
"315",315,2,11,0,NA,0,"no college",0,0
"316",316,2,10,0,NA,0,"no college",0,0
"317",317,2,9,0,NA,0,"no college",0,0
"318",318,2,8,0,NA,0,"no college",0,0
"319",319,1,7,0,NA,0,"no college",0,0
"320",320,1,6,0,NA,0,"no college",0,0
"321",321,1,6,0,NA,0,"no college",0,0
"322",322,1,2,0,NA,0,"no college",0,0
"323",323,2,3,0,NA,0,"no college",0,0
"324",324,1,2,0,NA,0,"no college",0,0
"325",325,2,40,1,"disabled",1,"no college",9,0
"326",326,1,36,1,"employed",1,"bachelor",16,0
"327",327,1,57,0,"disabled",0,"no college",0,0
"328",328,2,38,1,"keeping house",1,"no college",12,0
"329",329,2,36,1,"employed",1,"no college",12,0
"330",330,2,34,1,"employed",1,"no college",12,0
"331",331,2,32,0,"employed",1,"no college",12,0
"332",332,1,62,1,"retired",1,"no college",9,0
